Title,Advertisement No,Date,Download Link
"Accounts Officer, Class-2, Gujarat Accounts Service",6/2026-27,30-06-2026 06:04 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-04-06-2026-27.pdf
"Accounts Officer, Class-1, Gujarat Accounts Service",4/2026-27,30-06-2026 06:03 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-04-06-2026-27.pdf
"Assistant Professor, Politics in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",94/2025-26,29-06-2026 12:52 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-94-2025-26.pdf
"Assistant Professor, Sociology in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",91/2025-26,29-06-2026 12:52 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-91-2025-26.pdf
"Assistant Professor, Computer Science in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",85/2025-26,29-06-2026 12:51 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-85-2025-26.pdf
"Assistant Professor, Zoology in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",83/2025-26,29-06-2026 12:51 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-83-2025-26.pdf
"Child Development Project Officer (Female), General State Service, Class-2, Women and Child Development Department (Special Recruitment-PwD-First Attempt)",26/2025-26,29-06-2026 12:49 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-26-2025-26.pdf
"Assistant Professor, Botany in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",95/2025-26,22-06-2026 01:16 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-95-2025-26.pdf
"Assistant Professor, Geography in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",89/2025-26,22-06-2026 01:15 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-89-2025-26.pdf
"Accounts Officer, Class-2, Gujarat Accounts Service",6/2026-27,17-06-2026 03:22 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9994-2026-27.pdf
"Gujarat Administrative Service, Class-1, Gujarat Civil Services, Class-1 & Class-2 & Gujarat Municipal Chief Officer Service, Class-2",5/2026-27,17-06-2026 03:21 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9994-2026-27.pdf
